month_day,historic_norm_c,sample_count,reference_period,geography,weighting,grid_selection
01-01,3.9,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-02,3.86,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-03,3.8,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-04,3.76,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-05,3.75,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-06,3.73,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-07,3.7,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-08,3.7,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-09,3.7,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-10,3.71,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-11,3.73,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-12,3.75,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-13,3.79,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-14,3.83,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-15,3.86,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-16,3.88,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-17,3.93,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-18,3.96,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-19,4.0,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-20,4.06,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-21,4.15,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-22,4.22,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-23,4.32,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-24,4.42,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-25,4.49,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-26,4.54,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-27,4.59,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-28,4.65,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-29,4.7,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-30,4.69,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
01-31,4.66,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-01,4.65,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-02,4.68,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-03,4.71,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-04,4.74,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-05,4.77,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-06,4.82,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-07,4.86,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-08,4.89,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-09,4.94,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-10,4.96,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-11,4.98,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-12,5.0,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
02-13,5.03,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
